wall_time_unix,wall_time_local,gnss_time_gpst,gnss_lat_deg,gnss_lon_deg,gnss_h_m,tca_time,tca_lat_deg,tca_lon_deg,tca_h_m
1787575406.801,2026-08-24 17:43:26,2021-06-19 10:06:12.300,37.3527203900,-121.9157732200,20.5580,,,,
1787575406.901,2026-08-24 17:43:26,2021-06-19 10:06:12.400,37.3527206100,-121.9157724600,20.7000,,,,
1787575407.001,2026-08-24 17:43:27,2021-06-19 10:06:12.500,37.3527203100,-121.9157726500,20.5880,,,,
1787575407.102,2026-08-24 17:43:27,2021-06-19 10:06:12.600,37.3527203500,-121.9157729100,20.5630,,,,
1787575407.203,2026-08-24 17:43:27,2021-06-19 10:06:12.700,37.3527204800,-121.9157726300,20.6940,,,,
1787575407.304,2026-08-24 17:43:27,2021-06-19 10:06:12.800,37.3527203500,-121.9157721200,20.7730,,,,
1787575407.405,2026-08-24 17:43:27,2021-06-19 10:06:12.900,37.3527203700,-121.9157717000,20.6980,,,,
1787575407.506,2026-08-24 17:43:27,2021-06-19 10:06:13.000,37.3527201000,-121.9157721700,20.6050,,,,
1787575407.607,2026-08-24 17:43:27,2021-06-19 10:06:13.100,37.3527199300,-121.9157725600,20.6490,,,,
1787575407.708,2026-08-24 17:43:27,2021-06-19 10:06:13.200,37.3527197300,-121.9157726300,20.5280,,,,
1787575407.808,2026-08-24 17:43:27,2021-06-19 10:06:13.300,37.3527194800,-121.9157721400,20.5510,,,,
1787575407.909,2026-08-24 17:43:27,2021-06-19 10:06:13.400,37.3527195300,-121.9157715200,20.7020,,,,
1787575408.009,2026-08-24 17:43:28,2021-06-19 10:06:13.500,37.3527188700,-121.9157740100,20.2830,,,,
1787575408.110,2026-08-24 17:43:28,2021-06-19 10:06:13.600,37.3527191800,-121.9157728900,20.4030,,,,
1787575408.211,2026-08-24 17:43:28,2021-06-19 10:06:13.700,37.3527195500,-121.9157715800,20.6720,,,,
1787575408.314,2026-08-24 17:43:28,2021-06-19 10:06:13.800,37.3527194600,-121.9157714900,20.5880,,,,
1787575408.414,2026-08-24 17:43:28,2021-06-19 10:06:13.900,37.3527195900,-121.9157720200,20.4880,,,,
1787575408.515,2026-08-24 17:43:28,2021-06-19 10:06:14.000,37.3527201000,-121.9157720900,20.5040,,,,
1787575408.616,2026-08-24 17:43:28,2021-06-19 10:06:14.200,37.3527200800,-121.9157719600,20.3980,,,,
1787575408.817,2026-08-24 17:43:28,2021-06-19 10:06:14.300,37.3527204000,-121.9157711400,20.5570,,,,
1787575408.917,2026-08-24 17:43:28,2021-06-19 10:06:14.400,37.3527202100,-121.9157716100,20.5340,,,,
1787575409.018,2026-08-24 17:43:29,2021-06-19 10:06:14.500,37.3527203500,-121.9157720500,20.3780,,,,
1787575409.119,2026-08-24 17:43:29,2021-06-19 10:06:14.600,37.3527208800,-121.9157708300,20.5770,,,,
1787575409.220,2026-08-24 17:43:29,2021-06-19 10:06:14.700,37.3527207500,-121.9157705200,20.6030,,,,
1787575409.320,2026-08-24 17:43:29,2021-06-19 10:06:14.800,37.3527205600,-121.9157709600,20.5590,,,,
1787575409.421,2026-08-24 17:43:29,2021-06-19 10:06:15.000,37.3527210900,-121.9157697400,20.7490,,,,
1787575409.522,2026-08-24 17:43:29,2021-06-19 10:06:15.100,37.3527209500,-121.9157699800,20.6460,,,,
1787575409.622,2026-08-24 17:43:29,2021-06-19 10:06:15.200,37.3527210500,-121.9157700300,20.6150,,,,
1787575409.723,2026-08-24 17:43:29,2021-06-19 10:06:15.300,37.3527209500,-121.9157699800,20.6620,,,,
1787575409.823,2026-08-24 17:43:29,2021-06-19 10:06:15.400,37.3527208900,-121.9157701900,20.5080,,,,
1787575409.928,2026-08-24 17:43:29,2021-06-19 10:06:15.500,37.3527208400,-121.9157705000,20.4020,,,,
1787575410.029,2026-08-24 17:43:30,2021-06-19 10:06:15.600,37.3527211900,-121.9157694300,20.6180,,,,
1787575410.130,2026-08-24 17:43:30,2021-06-19 10:06:15.700,37.3527210600,-121.9157707500,20.4330,,,,
1787575410.231,2026-08-24 17:43:30,2021-06-19 10:06:15.800,37.3527212300,-121.9157701400,20.4960,,,,
1787575410.332,2026-08-24 17:43:30,2021-06-19 10:06:15.900,37.3527215300,-121.9157690100,20.6740,,,,
1787575410.433,2026-08-24 17:43:30,2021-06-19 10:06:16.000,37.3527216400,-121.9157696000,20.4960,,,,
1787575410.533,2026-08-24 17:43:30,2021-06-19 10:06:16.100,37.3527212300,-121.9157705500,20.3700,,,,
1787575410.634,2026-08-24 17:43:30,2021-06-19 10:06:16.200,37.3527214600,-121.9157703000,20.4290,,,,
1787575410.734,2026-08-24 17:43:30,2021-06-19 10:06:16.300,37.3527216200,-121.9157693200,20.5800,,,,
1787575410.835,2026-08-24 17:43:30,2021-06-19 10:06:16.400,37.3527214600,-121.9157702300,20.3820,,,,
1787575410.935,2026-08-24 17:43:30,2021-06-19 10:06:16.500,37.3527213700,-121.9157706300,20.2340,,,,
1787575411.036,2026-08-24 17:43:31,2021-06-19 10:06:16.600,37.3527218200,-121.9157708800,20.2750,,,,
1787575411.137,2026-08-24 17:43:31,2021-06-19 10:06:16.700,37.3527214300,-121.9157712200,20.1570,,,,
1787575411.238,2026-08-24 17:43:31,2021-06-19 10:06:16.800,37.3527215300,-121.9157706800,20.2080,,,,
1787575411.338,2026-08-24 17:43:31,2021-06-19 10:06:16.900,37.3527220100,-121.9157693200,20.4780,,,,
1787575411.439,2026-08-24 17:43:31,2021-06-19 10:06:17.000,37.3527217800,-121.9157714600,20.1060,,,,
1787575411.540,2026-08-24 17:43:31,2021-06-19 10:06:17.100,37.3527217600,-121.9157715100,20.1370,,,,
1787575411.640,2026-08-24 17:43:31,2021-06-19 10:06:17.200,37.3527221800,-121.9157704800,20.2960,,,,
1787575411.740,2026-08-24 17:43:31,2021-06-19 10:06:17.300,37.3527219700,-121.9157701500,20.2730,,,,
1787575411.842,2026-08-24 17:43:31,2021-06-19 10:06:17.400,37.3527219800,-121.9157711100,20.1750,,,,
1787575411.943,2026-08-24 17:43:31,2021-06-19 10:06:17.500,37.3527218900,-121.9157719900,20.0450,,,,
1787575412.043,2026-08-24 17:43:32,2021-06-19 10:06:17.600,37.3527221000,-121.9157710400,20.1590,,,,
1787575412.143,2026-08-24 17:43:32,2021-06-19 10:06:17.700,37.3527219300,-121.9157710800,20.1680,,,,
1787575412.243,2026-08-24 17:43:32,2021-06-19 10:06:17.800,37.3527223100,-121.9157700600,20.3570,,,,
