ini lat (deg),ini lon (deg),ini alt (m),ini vx_body (m/s),ini vy_body (m/s),ini vz_body (m/s),ini yaw (deg),ini pitch (deg),ini roll (deg)
37.352721,-121.915773,20,3.768390572,-3.286218571,0,318.91,0,0
command type,yaw (deg),pitch (deg),roll (deg),vx_body (m/s),vy_body (m/s),vz_body (m/s),command duration (s),GPS visibility
1,318.91,0,0,3.768390572,-3.286218571,0,5,1
1,318.91,0,0,3.768390572,-3.286218571,0,100,1
1,318.91,0,0,3.768390572,-3.286218571,0,30,1
1,318.91,0,0,3.768390572,-3.286218571,0,200,1
1,318.91,0,0,3.768390572,-3.286218571,0,120,1
1,318.91,0,0,3.768390572,-3.286218571,0,10,1
1,318.91,0,0,3.768390572,-3.286218571,0,19.384785,1
1,318.91,0,0,3.768390572,-3.286218571,0,2,1
1,318.91,0,0,3.768390572,-3.286218571,0,5,1
