stream_index,source_index,target_ns,write_start_ns,lateness_ms,interval_ms,prep_wall_ms,prep_cpu_ms,prep_desched_ms,pre_wait_late_ms,sleep_calls,sleep_requested_ms,sleep_actual_ms,sleep_overshoot_ms,sleep_cpu_ms,spin_wall_ms,spin_cpu_ms,spin_desched_ms,previous_write_ms,previous_tail_ms,previous_progress_print_ms,gc_count,gc_time_ms,current_serial_write_ms,cause
51598,62459,19648188369349,19648189005905,0.636556,5.63627,0.003034,0.002827,0.000207,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008933,0.000289,0.0,0,0.0,0.009708,OTHER_SCHEDULER_KERNEL
60814,71675,19694268369349,19694269005141,0.635792,5.635513,0.002944,0.002746,0.000198,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008791,0.000256,0.0,0,0.0,0.009189,OTHER_SCHEDULER_KERNEL
65422,76283,19717308369349,19717310070727,1.701378,6.701098,0.002916,0.0027,0.000216,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008633,0.000239,0.0,0,0.0,0.009624,OTHER_SCHEDULER_KERNEL
70030,80891,19740348369349,19740348992661,0.623312,5.623065,0.002979,0.002778,0.000201,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008809,0.000309,0.0,0,0.0,0.010896,OTHER_SCHEDULER_KERNEL
70031,80892,19740353369349,19740353764020,0.394671,4.771359,0.003604,0.003394,0.00021,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010896,0.000889,0.0,0,0.0,0.004665,OTHER_SCHEDULER_KERNEL
74638,85499,19763388369349,19763388975911,0.606562,5.606303,0.002866,0.002667,0.000199,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008756,0.000212,0.0,0,0.0,0.009191,OTHER_SCHEDULER_KERNEL
79246,90107,19786428369349,19786429002813,0.633464,5.63318,0.002901,0.002705,0.000196,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008535,0.000257,0.0,0,0.0,0.009716,OTHER_SCHEDULER_KERNEL
83854,94715,19809468369349,19809468998593,0.629244,5.628972,0.0031,0.002881,0.000219,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008944,0.000235,0.0,0,0.0,0.010997,OTHER_SCHEDULER_KERNEL
83855,94716,19809473369349,19809473795623,0.426274,4.79703,0.004818,0.004512,0.000306,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010997,0.001985,0.0,0,0.0,0.004246,OTHER_SCHEDULER_KERNEL
134338,145199,20061888369349,20061888682960,0.313611,5.313332,0.003085,0.002879,0.000206,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00874,0.000249,0.0,0,0.0,0.009201,OTHER_SCHEDULER_KERNEL
